datetime,open,high,low,close,volume,EMA_9,EMA_18,EMA_50,SMA_50,PDH,PDL,PD_EQ,PWH,PWL,PW_EQ,WH,WL,is_green_day,is_red_day,is_GSD,is_RSD,is_GD,is_RD,day_type,day_count
2026-03-09 08:15:00,5087.285,5102.255,5083.94,5083.94,8730.0,5084.249274599266,5089.154756307975,5107.012606555766,5124.8857,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 08:30:00,5083.985,5094.105,5081.87,5087.27,7182.0,5084.8534196794135,5088.956360907136,5106.238386690834,5123.6451,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 08:45:00,5087.21,5093.73,5087.005,5091.275,6123.0,5086.137735743531,5089.200428180069,5105.651587212762,5122.2339,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 09:00:00,5091.295,5097.225,5086.805,5090.855,8453.0,5087.081188594825,5089.374593634799,5105.071328890693,5120.9691,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 09:15:00,5090.865,5094.77,5088.465,5089.46,6695.0,5087.55695087586,5089.3835837785045,5104.459119914588,5119.921600000001,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 09:30:00,5089.685,5093.035,5087.495,5090.38,6047.0,5088.121560700688,5089.488469696557,5103.906997564996,5118.851100000001,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 09:45:00,5090.385,5091.51,5085.36,5090.36,5793.0,5088.5692485605505,5089.580209728499,5103.375742758526,5117.8102,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 10:00:00,5090.35,5102.35,5081.185,5096.425,9995.0,5090.140398848441,5090.300713967605,5103.103164611133,5116.8927,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 10:15:00,5096.375,5104.605,5087.3,5095.425,15715.0,5091.197319078753,5090.840112497331,5102.802060116579,5115.9987,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 10:30:00,5095.48,5121.51,5091.915,5120.885,18641.0,5097.1348552630025,5094.002732234454,5103.511195013968,5115.6807,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 10:45:00,5120.89,5140.79,5119.415,5124.2,21164.0,5102.547884210402,5097.181391999248,5104.322520699695,5115.3158,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 11:00:00,5124.185,5134.075,5119.22,5127.865,18356.0,5107.611307368322,5100.411245473011,5105.24575518206,5115.1214,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 11:15:00,5127.86,5131.46,5123.22,5126.51,14780.0,5111.3910458946575,5103.158482791641,5106.079647135705,5114.8314,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 11:30:00,5126.515,5129.85,5104.69,5106.675,15887.0,5110.447836715726,5103.528642497785,5106.102994306854,5114.0536,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 11:45:00,5106.68,5111.24,5097.22,5097.975,13688.0,5107.953269372581,5102.944048550649,5105.784249432076,5113.0008,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 12:00:00,5097.97,5102.095,5088.265,5096.915,12419.0,5105.7456154980655,5102.309411861108,5105.436435728858,5111.6363,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 12:15:00,5096.91,5107.105,5095.285,5106.815,10569.0,5105.959492398452,5102.783684296781,5105.490497072824,5110.5509999999995,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 12:30:00,5106.825,5108.03,5099.88,5101.23,9226.0,5105.013593918762,5102.62013858133,5105.323418756243,5109.1475,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 12:45:00,5101.205,5101.56,5093.615,5099.085,9657.0,5103.82787513501,5102.248018730664,5105.078774883449,5107.8219,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 13:00:00,5099.145,5111.055,5099.145,5100.025,11485.0,5103.067300108008,5102.014016759014,5104.880587633118,5106.6563,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 13:15:00,5100.015,5106.63,5090.91,5091.6,9779.0,5100.773840086406,5100.917804468591,5104.359780274957,5105.2937,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 13:30:00,5091.58,5096.895,5087.07,5090.265,12775.0,5098.6720720691255,5099.796456629792,5103.807043793587,5103.9931,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 13:45:00,5090.26,5102.77,5087.23,5096.725,13309.0,5098.282657655301,5099.473145405604,5103.529316585995,5102.8511,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 14:00:00,5096.71,5116.885,5095.085,5112.865,12954.0,5101.199126124241,5100.882814310276,5103.895421817917,5101.953,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 14:15:00,5112.895,5126.875,5112.395,5125.15,9975.0,5105.989300899393,5103.437254909195,5104.728934687802,5101.3891,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 14:30:00,5125.155,5132.765,5102.655,5102.79,16653.0,5105.349440719515,5103.36912281349,5104.65289803338,5100.1407,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 14:45:00,5102.785,5107.53,5096.455,5105.39,15823.0,5105.357552575612,5103.5818467278605,5104.681803992856,5098.8801,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 15:00:00,5105.4,5111.32,5102.88,5109.245,11120.0,5106.13504206049,5104.177968124928,5104.860752855881,5097.652099999999,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 15:15:00,5109.26,5110.49,5098.2,5099.67,10084.0,5104.842033648392,5103.703445164409,5104.657193920357,5096.2155,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 15:30:00,5099.525,5100.435,5089.085,5096.045,13424.0,5103.082626918714,5102.897293041839,5104.319460825441,5094.9511,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 15:45:00,5096.04,5096.815,5083.845,5087.335,13008.0,5099.933101534971,5101.259156932171,5103.653403538168,5093.5765,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 16:00:00,5087.3,5097.52,5087.3,5090.56,14505.0,5098.058481227977,5100.132929886679,5103.13993673275,5092.8693,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 16:15:00,5090.565,5092.8,5079.93,5085.94,13160.0,5095.6347849823815,5098.638937267029,5102.465429409897,5091.9819,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 16:30:00,5086.035,5093.215,5082.135,5085.945,11879.0,5093.696827985906,5097.302733344183,5101.817569433039,5091.6595,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 16:45:00,5085.91,5094.725,5084.26,5088.305,10723.0,5092.618462388725,5096.355603518479,5101.287664749391,5091.3281,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 17:00:00,5088.29,5099.845,5088.29,5096.32,12774.0,5093.35876991098,5096.351855779692,5101.0928543670625,5091.7976,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 17:15:00,5096.36,5110.28,5094.535,5109.6,11079.0,5096.607015928785,5097.746397276567,5101.426467921295,5092.4694,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 17:30:00,5109.67,5112.505,5103.9,5107.1,7628.0,5098.705612743028,5098.730987036928,5101.648959375361,5093.8864,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 17:45:00,5107.295,5107.295,5093.48,5095.07,10111.0,5097.978490194422,5098.3456199804095,5101.390960968484,5094.8619,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 18:00:00,5095.075,5099.475,5088.175,5092.545,16825.0,5096.8917921555385,5097.735028403524,5101.044060538347,5095.665,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 18:15:00,5092.52,5098.51,5084.795,5094.855,18975.0,5096.48443372443,5097.431867518942,5100.801352281942,5096.5615,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 18:30:00,5094.755,5111.52,5074.3,5076.065,32822.0,5092.400546979545,5095.18272356958,5099.831299251277,5096.6335,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 18:45:00,5076.06,5084.885,5067.42,5074.39,31990.0,5088.798437583637,5092.994015825414,5098.833601241424,5096.6835,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 19:00:00,5074.44,5088.695,5060.595,5071.26,38302.0,5085.29075006691,5090.706224685897,5097.752283545682,5096.5166,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 19:15:00,5071.335,5084.41,5064.81,5081.745,32824.0,5084.581600053528,5089.762937876855,5097.124546936048,5096.7482,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 19:30:00,5081.665,5114.99,5079.985,5112.63,29421.0,5090.191280042823,5092.169997047712,5097.732603918948,5097.1061,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 19:45:00,5112.625,5116.28,5085.71,5094.125,26911.0,5090.978024034258,5092.375786832163,5097.59112925546,5097.4378,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 20:00:00,5094.01,5095.025,5079.585,5091.85,25436.0,5091.152419227406,5092.32044084983,5097.365986931716,5097.4181,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
