datetime,open,high,low,close,volume,EMA_9,EMA_18,EMA_50,SMA_50,PDH,PDL,PD_EQ,PWH,PWL,PW_EQ,WH,WL,GD,RD,GSD,RSD,inside_day,FBR,FBR_bull,FBR_bear,clean_BO,clean_BO_bull,clean_BO_bear
2026-04-02 01:15:00,4768.805,4771.295,4761.05,4762.15,3576.0,4765.713602399015,4765.806107926986,4749.880529799895,4751.9081,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-02 01:30:00,4762.16,4763.665,4754.145,4760.03,5487.0,4764.576881919213,4765.198096566251,4750.278548239115,4752.722,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-02 01:45:00,4759.57,4763.58,4756.545,4758.2,3346.0,4763.301505535371,4764.461454822435,4750.589193406208,4753.2682,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-02 03:00:00,4758.465,4760.62,4751.98,4759.105,1643.0,4762.462204428297,4763.897617472706,4750.9231466059655,4753.8066,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4793.195,4417.43,False,False,False,True,False,,,,,,
2026-04-02 03:15:00,4759.06,4776.015,4757.655,4773.33,4390.0,4764.6357635426375,4764.890499844,4751.801846739066,4754.6992,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4793.195,4417.43,False,False,False,True,False,,,,,,
2026-04-02 03:30:00,4773.315,4781.73,4770.85,4775.9,7201.0,4766.88861083411,4766.049394597264,4752.746872357141,4755.8492,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4793.195,4417.43,False,False,False,True,False,,,,,,
2026-04-02 03:45:00,4775.885,4783.005,4775.175,4776.7,4454.0,4768.850888667288,4767.170510955447,4753.686210696076,4756.9885,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4793.195,4417.43,False,False,False,True,False,,,,,,
2026-04-02 04:00:00,4776.84,4791.8,4773.795,4791.485,7087.0,4773.377710933831,4769.729930854874,4755.168516158975,4758.427299999999,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4793.195,4417.43,False,False,False,True,False,,,,,,
2026-04-02 04:15:00,4791.495,4799.465,4788.96,4795.005,8488.0,4777.703168747064,4772.390464449098,4756.730731211564,4759.8581,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4799.465,4417.43,False,False,False,True,False,,,,,,
2026-04-02 04:30:00,4795.02,4800.8,4788.095,4789.8,7396.0,4780.122534997652,4774.2230471386665,4758.027565281699,4761.3355,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 04:45:00,4789.795,4790.085,4778.49,4784.19,8864.0,4780.936027998122,4775.272200071438,4759.05354311379,4762.4478,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 05:00:00,4784.15,4793.585,4775.21,4792.695,15955.0,4783.287822398498,4777.106179011286,4760.3728159328575,4763.6055,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 05:15:00,4792.715,4798.935,4788.47,4789.7,11224.0,4784.570257918798,4778.43184437852,4761.52290158255,4764.7748,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 05:30:00,4789.685,4796.565,4784.51,4787.44,9852.0,4785.144206335039,4779.380071286044,4762.5392583832345,4765.7854,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 05:45:00,4787.525,4791.845,4783.51,4784.42,11517.0,4784.999365068032,4779.910590098039,4763.397326681932,4766.5698999999995,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 06:00:00,4784.41,4786.36,4724.635,4750.75,37470.0,4778.1494920544255,4776.841054298246,4762.901353086562,4766.3756,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 06:15:00,4750.725,4753.505,4686.795,4695.935,44153.0,4761.706593643541,4768.32462753001,4760.275221592972,4765.2429999999995,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 06:30:00,4695.95,4708.89,4649.465,4690.1,38630.0,4747.385274914834,4760.090456211062,4757.523252118738,4764.1703,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 06:45:00,4690.105,4711.94,4684.975,4696.105,29814.0,4737.129219931867,4753.355145030951,4755.114693212121,4763.3739000000005,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 07:00:00,4695.875,4704.155,4679.065,4689.455,24755.0,4727.594375945493,4746.62881397506,4752.539803282234,4762.1835,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 07:15:00,4689.5,4703.55,4688.545,4690.41,17378.0,4720.157500756395,4740.711044082948,4750.103340408421,4761.4962,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 07:30:00,4690.53,4691.715,4655.525,4676.315,29050.0,4711.389000605116,4733.932513126849,4747.209680000247,4760.3863,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 07:45:00,4676.305,4689.8,4673.35,4687.24,18055.0,4706.559200484093,4729.017511745074,4744.857927843375,4759.408299999999,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 08:00:00,4687.23,4691.955,4677.93,4690.35,13249.0,4703.317360387275,4724.947247350857,4742.720362045596,4758.343,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 08:15:00,4690.35,4699.52,4688.245,4691.84,12817.0,4701.0218883098205,4721.4622739455035,4740.725053730082,4757.4127,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 08:30:00,4691.815,4692.955,4683.785,4686.045,9441.0,4698.026510647856,4717.734139845977,4738.5807378975305,4756.2408000000005,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 08:45:00,4686.05,4687.855,4676.04,4676.51,6546.0,4693.723208518286,4713.394756704295,4736.146591313314,4754.9283,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
