datetime,open,high,low,close,volume
2026-04-07 05:45:00,1.15379,1.15397,1.15373,1.15374,1089.0
2026-04-07 06:00:00,1.15374,1.15403,1.15351,1.1536,2162.0
2026-04-07 06:15:00,1.1536,1.15375,1.15347,1.15363,1312.0
2026-04-07 06:30:00,1.15363,1.15368,1.15299,1.15306,1418.0
2026-04-07 06:45:00,1.15306,1.15314,1.15272,1.15301,1600.0
2026-04-07 07:00:00,1.15301,1.15303,1.1524,1.15272,1591.0
2026-04-07 07:15:00,1.15272,1.15296,1.15257,1.15292,1110.0
2026-04-07 07:30:00,1.15292,1.15306,1.15284,1.15304,697.0
2026-04-07 07:45:00,1.15304,1.15319,1.15287,1.15297,476.0
2026-04-07 08:00:00,1.15297,1.15321,1.15296,1.15306,502.0
2026-04-07 08:15:00,1.15306,1.1531,1.15288,1.1530799999999999,831.0
2026-04-07 08:30:00,1.1530799999999999,1.1534,1.15304,1.15339,783.0
2026-04-07 08:45:00,1.15339,1.15347,1.15333,1.15344,525.0
2026-04-07 09:00:00,1.15344,1.15359,1.15329,1.15335,675.0
2026-04-07 09:15:00,1.15335,1.15349,1.15333,1.15346,702.0
2026-04-07 09:30:00,1.15346,1.15363,1.15342,1.15359,776.0
2026-04-07 09:45:00,1.15359,1.15388,1.15355,1.15382,782.0
2026-04-07 10:00:00,1.15382,1.15397,1.15367,1.15373,889.0
2026-04-07 10:15:00,1.15373,1.15395,1.15353,1.15363,1012.0
2026-04-07 10:30:00,1.15363,1.15376,1.15304,1.15304,1428.0
2026-04-07 10:45:00,1.15304,1.15356,1.15302,1.15353,1205.0
2026-04-07 11:00:00,1.15353,1.1538,1.15341,1.1535,1853.0
2026-04-07 11:15:00,1.1535,1.15392,1.15326,1.15375,1721.0
2026-04-07 11:30:00,1.15375,1.15455,1.15368,1.15443,2270.0
2026-04-07 11:45:00,1.15443,1.1544699999999999,1.15408,1.15446,1708.0
2026-04-07 12:00:00,1.15446,1.15454,1.15367,1.1541299999999999,2274.0
2026-04-07 12:15:00,1.1541299999999999,1.15443,1.15384,1.15385,1909.0
2026-04-07 12:30:00,1.15385,1.1544699999999999,1.15385,1.15445,1487.0
2026-04-07 12:45:00,1.15445,1.1546,1.15398,1.15427,1472.0
2026-04-07 13:00:00,1.15427,1.15679,1.15418,1.15659,8124.0
2026-04-07 13:15:00,1.15659,1.15659,1.15573,1.15612,4382.0
2026-04-07 13:30:00,1.15612,1.15684,1.15593,1.15673,3386.0
2026-04-07 13:45:00,1.15673,1.15756,1.15644,1.1573499999999999,3435.0
2026-04-07 14:00:00,1.1573499999999999,1.15754,1.15692,1.15693,2717.0
2026-04-07 14:15:00,1.15693,1.15736,1.15653,1.15688,2938.0
2026-04-07 14:30:00,1.15688,1.15727,1.15657,1.15658,2560.0
2026-04-07 14:45:00,1.15658,1.1566,1.15622,1.15628,1997.0
2026-04-07 15:00:00,1.15628,1.15638,1.15509,1.15607,5349.0
2026-04-07 15:15:00,1.15607,1.15629,1.15457,1.15551,6369.0
2026-04-07 15:30:00,1.15551,1.1558599999999999,1.15462,1.15529,4358.0
2026-04-07 15:45:00,1.15529,1.15545,1.1548,1.15542,3676.0
2026-04-07 16:00:00,1.15542,1.15543,1.15479,1.15489,2527.0
2026-04-07 16:15:00,1.15489,1.15567,1.15489,1.15539,2333.0
2026-04-07 16:30:00,1.15539,1.15621,1.15505,1.1562,3074.0
2026-04-07 16:45:00,1.1562,1.1562,1.15566,1.15599,1903.0
2026-04-07 17:00:00,1.15599,1.15661,1.15537,1.15561,5356.0
2026-04-07 17:15:00,1.15561,1.15643,1.1554,1.1561,3833.0
2026-04-07 17:30:00,1.1561,1.1567,1.15602,1.15645,1982.0
2026-04-07 17:45:00,1.15645,1.15697,1.15575,1.15604,3884.0
2026-04-07 18:00:00,1.15604,1.15648,1.15582,1.15629,4107.0
2026-04-07 18:15:00,1.15629,1.1565,1.15592,1.15597,2929.0
2026-04-07 18:30:00,1.15597,1.1564,1.15559,1.15601,4669.0
2026-04-07 18:45:00,1.15601,1.15649,1.15595,1.15636,2748.0
2026-04-07 19:00:00,1.15636,1.15664,1.1559,1.1562,3675.0
2026-04-07 19:15:00,1.1562,1.15732,1.15583,1.15724,4663.0
2026-04-07 19:30:00,1.15724,1.1581299999999999,1.15711,1.15786,5131.0
2026-04-07 19:45:00,1.15786,1.15836,1.15711,1.15719,5827.0
2026-04-07 20:00:00,1.15719,1.15734,1.15658,1.15704,4542.0
2026-04-07 20:15:00,1.15704,1.15785,1.15693,1.15743,5825.0
2026-04-07 20:30:00,1.15743,1.1575199999999999,1.15677,1.15682,3330.0
2026-04-07 20:45:00,1.15682,1.15783,1.1568,1.15709,4042.0
2026-04-07 21:00:00,1.15709,1.1579599999999999,1.15707,1.1575,5771.0
2026-04-07 21:15:00,1.1575,1.15785,1.1571,1.15754,5225.0
2026-04-07 21:30:00,1.15754,1.15775,1.1573499999999999,1.1575,2217.0
2026-04-07 21:45:00,1.1575,1.15768,1.15696,1.15715,2203.0
2026-04-07 22:00:00,1.15715,1.15754,1.15678,1.15702,2765.0
2026-04-07 22:15:00,1.15702,1.15703,1.15662,1.15684,1721.0
2026-04-07 22:30:00,1.15684,1.15795,1.15684,1.15757,3844.0
2026-04-07 22:45:00,1.15757,1.15793,1.15733,1.15776,2103.0
2026-04-07 23:00:00,1.15776,1.1579599999999999,1.1577,1.15795,2292.0
2026-04-07 23:15:00,1.15795,1.1582999999999999,1.15784,1.1582,1932.0
2026-04-07 23:30:00,1.1582,1.15829,1.15764,1.15778,1913.0
2026-04-07 23:45:00,1.15778,1.15778,1.15713,1.15746,2358.0
2026-04-08 00:00:00,1.15746,1.15795,1.15729,1.15767,3266.0
2026-04-08 00:15:00,1.15767,1.15906,1.15764,1.15845,6796.0
2026-04-08 00:30:00,1.15845,1.15899,1.15828,1.15862,2538.0
2026-04-08 00:45:00,1.15862,1.16016,1.15854,1.15951,9497.0
2026-04-08 01:00:00,1.15951,1.16018,1.15925,1.16017,2154.0
2026-04-08 01:15:00,1.16017,1.1605,1.15991,1.15994,2188.0
2026-04-08 01:30:00,1.15994,1.16028,1.15966,1.15979,3049.0
2026-04-08 01:45:00,1.15979,1.15991,1.15932,1.15933,2685.0
2026-04-08 02:00:00,1.15933,1.16004,1.15907,1.15966,318.0
