time,open,high,low,close,Volume
1762827600,4133.16,4137.65,4132.99,4136.69,1529
1762827900,4136.74,4136.82,4133.29,4134.14,1766
1762828200,4134.16,4134.21,4129.21,4130.73,2164
1762828500,4130.8,4132.78,4129.93,4132.47,1730
1762828800,4132.51,4139,4132.28,4138.76,1751
1762829100,4138.92,4139.57,4135.62,4136.79,1751
1762829400,4136.75,4137.09,4134.5,4134.78,1747
1762829700,4134.74,4139.6,4134.29,4138.13,1635
1762830000,4138.04,4138.84,4136.99,4138.39,1424
1762830300,4138.4,4141.28,4138.06,4140.87,1570
1762830600,4140.79,4144.28,4140.69,4143.22,1918
1762830900,4143.09,4145.46,4143.02,4145.32,1761
1762831200,4145.31,4145.68,4143.35,4144.3,1408
1762831500,4144.43,4145.36,4143.5,4144.29,1490
1762831800,4144.09,4147.8,4143.35,4147.67,1796
1762832100,4147.67,4148.14,4145.68,4146.01,1636
1762832400,4146.06,4146.55,4143.75,4144.8,1643
1762832700,4144.71,4147.08,4144.46,4146.16,1530
1762833000,4146.18,4147.1,4145.07,4145.21,1282
1762833300,4145.25,4146.91,4144.46,4146.82,1392
1762833600,4146.79,4148.98,4146.56,4148.26,1603
1762833900,4148.13,4148.37,4144.11,4144.98,1677
1762834200,4144.93,4145.06,4142.46,4143.4,1602
1762834500,4143.3,4144.2,4142.28,4143.79,1347
1762834800,4143.77,4144.17,4142.85,4142.96,1242
1762835100,4142.97,4144.61,4142.31,4144.14,1194
1762835400,4144.2,4145.01,4142.82,4144.29,1217
1762835700,4144.3,4145.52,4143.53,4145.36,1276
1762836000,4145.33,4146.36,4142.02,4142.13,1795
1762836300,4142.12,4144.43,4142.05,4143.68,1476
1762836600,4143.7,4146.21,4143.42,4143.83,1527
1762836900,4143.62,4143.77,4141.85,4143.02,1472
1762837200,4143.17,4144.54,4139.28,4140.49,1697
1762837500,4140.5,4140.94,4134.8,4139.29,2085
1762837800,4139.26,4141.04,4138.9,4140.58,1794
1762838100,4140.58,4142.1,4139.96,4140.59,1756
1762838400,4140.62,4140.66,4135.18,4136.2,1880
1762838700,4136.21,4137.43,4135.62,4136.07,1693
1762839000,4136.1,4137.02,4130.99,4131.26,2196
1762839300,4131.55,4131.55,4124.53,4127.15,2283
1762839600,4127.15,4130.84,4127.01,4129.75,2050
1762839900,4129.76,4134.11,4128.37,4132.81,1953
